lichess_id,ply,result,crisc_player
8iENZyd4,56,1-0,Black
IjnkTdjj,60,0-1,Black
Da9GgD1I,60,1-0,Black
OZDaW9Ca,99,0-1,White
FeFdL0c2,91,1-0,White
oql0aPXh,66,1-0,Black
d1GQabHE,54,1-0,Black
JxvAnnwR,62,1-0,Black
lLkabizo,75,1-0,White
zUU3J1Wj,57,1-0,White
Hwi47Uy4,60,0-1,Black
0uVewrWt,123,1-0,White
sFHgH3QB,89,1/2-1/2,White
NdnA31sO,79,0-1,White
KVhDcUOK,78,1-0,Black
I2EDh7WU,34,1-0,Black
tdUVkeEp,51,0-1,White
EIcTiCUj,33,1-0,White
Z4uHY81H,53,1-0,White
7tLAnSeH,76,0-1,Black
8nXggxJi,92,1-0,Black
j9RZMbf1,33,1-0,White
7LuwWUdy,69,0-1,White
IbJaXHih,100,0-1,Black
cFB0FieE,70,0-1,Black
nt5agaWT,55,1-0,White
V54trC7Z,47,0-1,White
l7J1hWeM,62,0-1,Black
QqbQdvW5,91,0-1,White
ewhOzIo0,73,1-0,White
AdZQgF4N,90,0-1,Black
nC9Xj30m,80,0-1,Black
BpMo3ywl,44,0-1,Black
BpMo3ywl,58,0-1,Black
8R113g2x,69,1-0,White
tN6kInwG,67,1-0,White
jKVWFuM1,103,0-1,White
HpCVQC2J,53,1-0,White
hhMopCD5,64,1-0,Black
7n1fR3Zy,65,1-0,White
Ffc8bz7n,60,0-1,Black
KHzlptSA,56,1-0,Black
JeMtI7Nr,67,1-0,White
9iUOIiJR,72,0-1,Black
dgRVOhJj,121,1-0,White
qeiywfYU,116,1/2-1/2,Black
HK0lD1Ye,69,1-0,White
tbkdMG0o,78,1-0,Black
ZN3ZiNSR,60,0-1,Black
GFRHcRYz,59,0-1,White
t3RV5RJN,63,1-0,White
VqQtjnwR,78,1-0,Black
NyAxnq4g,93,0-1,White
NyAxnq4g,95,0-1,White
E7iNXUqe,63,1-0,White
1vEuqoiq,57,1-0,White
gvfX4MDw,78,0-1,Black
gvfX4MDw,80,0-1,Black
w7zEt1XD,58,0-1,Black
EVl4uLDJ,93,0-1,White
BoJDzOQX,80,1-0,Black
BoJDzOQX,89,1-0,White
67WAjgco,113,1-0,White
Xpgf0v8M,73,0-1,White
qg48Y1vK,80,1-0,Black
8i20NLHC,110,0-1,Black
8i20NLHC,112,0-1,Black
I7wUq8cH,63,0-1,White
5X9SBWxH,60,0-1,Black
KuZ7eGzr,65,0-1,White
7faPu3HG,102,0-1,Black
7eJJcCdt,48,0-1,Black
RmGqNLvm,39,1-0,White
01dCdJ3l,55,1-0,White
gwp1ORXX,114,1/2-1/2,Black
aCvnA1uH,106,1/2-1/2,Black
2VrEAchb,53,1-0,White
G7NeSnXF,48,0-1,Black
Fuk3mnne,64,1-0,Black
Fuk3mnne,69,1-0,White
Fuk3mnne,85,1-0,White
MzbZu1OX,53,1-0,White
UvKSUJ86,64,1-0,Black
rrHbitmi,45,1-0,White
eMWNA94G,61,1-0,White
zTJa9CDf,45,0-1,White
NdWjhhIA,68,0-1,Black
QfgiV5lL,70,0-1,Black
TZFhZzNq,71,1-0,White
3L3gtjMj,69,0-1,White
Co1buMsZ,111,1-0,White
0RofDDYr,91,0-1,White
tcwjyDjL,76,0-1,Black
tcwjyDjL,83,0-1,White
TAQgh6LN,55,0-1,White
x0B5LFP6,74,1-0,Black
WaqXcS3U,62,0-1,Black
Z1PHfeWs,65,0-1,White
YeeseDky,73,1-0,White
j6SA6tnY,42,0-1,Black
Ys1ivolm,51,0-1,White
rwNSNheB,61,1-0,White
39fRPDe3,86,0-1,Black
1wRhXMQw,84,0-1,Black
hriN4RTl,122,1/2-1/2,Black
mRhit0lM,69,0-1,White
HL11qsoR,66,1-0,Black
cYxrqVKT,126,1-0,Black
hBHnDWSG,65,0-1,White
K4NCnp0j,36,0-1,Black
AZpZtQhv,70,0-1,Black
prKjKdly,93,1-0,White
c7YNtko2,54,0-1,Black
vVd9CHMN,112,1-0,Black
FAgaP2r5,61,1-0,White
DEDHfJu4,62,1-0,Black
JZ2tA8Gv,115,1-0,White
Ev1oYASl,116,1/2-1/2,Black
0QWzYqvi,64,0-1,Black
Rhhv909N,93,0-1,White
nn6AYJBA,65,1-0,White
W33MPzEO,74,0-1,Black
1fTJn5Q2,83,0-1,White
TJSLRxIL,73,0-1,White
6wojx0yv,63,1-0,White
2gCgoCn6,86,0-1,Black
QOPxxrZi,64,0-1,Black
RiyQkiKi,94,1-0,Black
kMkiSLjy,81,1-0,White
i9cjjjjY,65,0-1,White
KErE8tnT,76,0-1,Black
I6edcI9J,75,1-0,White
wzuunxjx,59,0-1,White
qodwMkpW,60,0-1,Black
3O71FxjI,88,1-0,Black
H1qTY7o8,67,0-1,White
ztP9m8CO,89,1-0,White
BPo9nwHq,60,1-0,Black
3lIrAnLi,68,0-1,Black
5PYYvkSl,78,1-0,Black
T2oovMLl,59,1/2-1/2,White
T2oovMLl,63,1/2-1/2,White
9rPuj5bG,68,1-0,Black
pOpMKgSJ,57,0-1,White
5V0kq2es,79,0-1,White
uIJl0dBP,68,0-1,Black
OXa5yHLI,56,1-0,Black
5sa9DxQ7,86,1-0,Black
iLLvPW7G,114,1/2-1/2,Black
A2WkFO04,60,1-0,Black
Oy5OkhTG,48,0-1,Black
JRE7azmk,80,1-0,Black
WUUID4RE,86,0-1,Black
a9xnDcrU,105,1-0,White
ueoLE98v,56,0-1,Black
pI8HnDPF,72,0-1,Black
ccPjT8tD,96,0-1,Black
GjqKHoLr,46,0-1,Black
NDGNQGx2,53,1-0,White
CBxKnQj3,75,1-0,White
smZ5xXcE,48,0-1,Black
wZDCbh3B,70,0-1,Black
0M94qA8v,75,1-0,White
32AqiUNd,81,1-0,White
O3JU7dnp,71,1-0,White
3mYLXPg5,47,0-1,White
u98yrBG0,62,0-1,Black
D3tahA0P,87,1-0,White
BN9PadX3,51,1-0,White
2SEL29xE,56,1-0,Black
Ho51fE1s,109,0-1,White
xaCBjmjR,72,0-1,Black
pNEbvbvk,79,1-0,White
998VXDzt,107,1-0,White
Pd4nMqLR,70,0-1,Black
PpfVyG5l,67,0-1,White
2eNc55N5,37,0-1,White
IUEwu4lv,79,1-0,White
2VPQkliA,42,0-1,Black
KLDpS03F,98,0-1,Black
9Ap5jESA,43,1-0,White
9sFB7ecI,50,0-1,Black
8OmOO3Uf,59,1-0,White
Je3JDlDU,88,1-0,Black
g3I4hSUl,38,0-1,Black
GaKYuqIV,61,0-1,White
3X59bkDz,33,0-1,White
3X59bkDz,35,0-1,White
s5DPwsV0,77,1-0,White
8TzLDHdi,58,0-1,Black
r8Hcm08W,44,0-1,Black
oKUvboyz,127,1-0,White
HyZHKwDZ,48,0-1,Black
XVyX9Upy,93,1-0,White
e0nVKgiv,88,0-1,Black
i861iPb0,84,1-0,Black
