lichess_id,ply,result,player,time_scramble_bracket,player_elo
rqEtTEoE,104,0-1,Black,<=5s vs 15-20s,2398
JxiMzeRS,63,0-1,White,<=5s vs 5-10s,1980
KCulMXf1,59,1-0,White,<=5s vs 15-20s,1299
guH2mNqE,56,1-0,Black,<=5s vs <=5s,1695
Ye4Rh7mM,62,0-1,Black,<=5s vs 15-20s,1763
hkbcSE10,68,1-0,Black,<=5s vs 5-10s,1591
xUxewy6P,75,1-0,White,<=5s vs 10-15s,1735
4hpWPm0I,68,0-1,Black,<=5s vs 10-15s,1730
XfPelvAR,76,0-1,Black,<=5s vs 5-10s,1993
LPTwRw2X,75,0-1,White,<=5s vs <=5s,1395
o0qHoyDs,81,1-0,White,<=5s vs 5-10s,1262
YvW43ohH,105,1-0,White,<=5s vs 5-10s,2339
SGaxTUXV,83,0-1,White,<=5s vs <=5s,1937
2ZeWYRQt,73,1-0,White,<=5s vs 10-15s,2078
cCgku094,74,0-1,Black,<=5s vs <=5s,2188
WqE8NyTH,70,1-0,Black,<=5s vs <=5s,1482
JdF7yFKm,64,0-1,Black,<=5s vs <=5s,1583
XSpYYOfZ,56,0-1,Black,<=5s vs 10-15s,1167
TDSnYPas,73,1-0,White,<=5s vs 5-10s,2048
8A66bUKp,93,0-1,White,<=5s vs 15-20s,1630
1mrrV4qK,98,0-1,Black,<=5s vs 5-10s,1557
wxmftkg2,44,0-1,Black,<=5s vs 5-10s,905
inwrDpbi,106,1/2-1/2,Black,<=5s vs <=5s,1972
Pv55fKBt,53,1-0,White,<=5s vs 10-15s,1722
xGNz7xH5,86,1/2-1/2,Black,<=5s vs 10-15s,2754
0WRgrKMi,59,1-0,White,<=5s vs 10-15s,2110
54Btrtzd,110,0-1,Black,<=5s vs 10-15s,1878
I9rJJG1n,52,0-1,Black,<=5s vs 15-20s,1746
R4EDXk2G,95,1-0,White,<=5s vs 5-10s,2455
FdE6gI4p,66,0-1,Black,<=5s vs 15-20s,1875
wa9lDGrK,71,1-0,White,<=5s vs 15-20s,1974
41Q2zdIT,58,0-1,Black,<=5s vs 15-20s,1186
ZcKjqJZz,57,1-0,White,<=5s vs 10-15s,2072
lMM2Jm8u,52,0-1,Black,<=5s vs <=5s,1122
SSbdCgdO,57,1-0,White,<=5s vs 15-20s,1574
zuHN5dA2,65,1-0,White,<=5s vs 15-20s,952
QmOiubfP,112,0-1,Black,<=5s vs 15-20s,1837
2nT0sAzg,77,1-0,White,<=5s vs 10-15s,2028
HYEkm26o,39,1-0,White,<=5s vs 5-10s,930
x3AeIQXt,74,0-1,Black,<=5s vs 5-10s,1383
2ooHPcRX,90,0-1,Black,<=5s vs 10-15s,1835
OWmAHYXd,67,1-0,White,<=5s vs 10-15s,1802
XPthTQiq,42,0-1,Black,<=5s vs 10-15s,764
67O1eNAq,59,1-0,White,<=5s vs 15-20s,1898
cqzihUMj,59,1-0,White,<=5s vs 15-20s,1646
PCpuMHR1,92,0-1,Black,<=5s vs 15-20s,1873
fOm5kkYk,64,0-1,Black,<=5s vs 5-10s,2272
mboD09ny,68,1-0,Black,<=5s vs <=5s,1423
I9YAYAdG,54,0-1,Black,<=5s vs 15-20s,1482
Sazx2e6s,58,1/2-1/2,Black,<=5s vs 5-10s,1486
7agrNyDN,121,0-1,White,<=5s vs <=5s,2679
hRr6MrsY,92,0-1,Black,<=5s vs <=5s,2107
fZLWCKIM,69,1-0,White,<=5s vs 15-20s,1826
tslDZOv1,113,1-0,White,<=5s vs <=5s,2276
H8vDhnn0,89,1/2-1/2,White,<=5s vs 5-10s,2188
0YcvGlAK,88,0-1,Black,<=5s vs 10-15s,2513
3Eh9rBuk,74,0-1,Black,<=5s vs 15-20s,2213
J4gzupYh,42,0-1,Black,<=5s vs 5-10s,962
6QdXM8wH,75,1-0,White,<=5s vs 10-15s,1750
a30uvECG,70,0-1,Black,<=5s vs 15-20s,1942
FVu31Q2g,69,1-0,White,<=5s vs 5-10s,1854
LDyU7mmq,66,0-1,Black,<=5s vs 5-10s,1259
ASs1Yu6c,113,1-0,White,<=5s vs 5-10s,2379
s0jSzKdr,96,0-1,Black,<=5s vs 15-20s,2071
IOe5UF4C,69,1-0,White,<=5s vs <=5s,1067
XfmF6rv3,49,1-0,White,<=5s vs <=5s,1030
1f9WYKJn,102,1-0,Black,<=5s vs 10-15s,2355
JPQf33qo,54,0-1,Black,<=5s vs 15-20s,1690
ywqfJZ9V,61,1-0,White,<=5s vs 5-10s,2213
5SKaJ2wr,65,1-0,White,<=5s vs 10-15s,1622
LYW4vwhL,58,0-1,Black,<=5s vs 15-20s,1923
nRmdKI4u,73,1-0,White,<=5s vs 10-15s,1064
zFRXl2cf,57,1-0,White,<=5s vs 15-20s,1775
8NYuv2mS,62,0-1,Black,<=5s vs 5-10s,2210
AsYSfND2,59,1-0,White,<=5s vs 10-15s,1564
SZdtC1HO,67,1-0,White,<=5s vs 5-10s,1514
DjiFThYW,41,1-0,White,<=5s vs 15-20s,1433
JfkvhzDe,52,0-1,Black,<=5s vs 5-10s,939
0NDxJABX,59,0-1,White,<=5s vs 5-10s,1613
K57EzfL9,63,1-0,White,<=5s vs 5-10s,1736
v7OIBhKs,110,0-1,Black,<=5s vs 5-10s,2352
UC2XpvpU,56,0-1,Black,<=5s vs <=5s,1026
vgT8xV5l,56,0-1,Black,<=5s vs 5-10s,1685
aRCKos1s,85,1-0,White,<=5s vs 15-20s,1858
MhaVpKlN,53,1-0,White,<=5s vs 10-15s,2063
2vAXBAk5,106,0-1,Black,<=5s vs 15-20s,2224
ZlNPlBMP,105,1-0,White,<=5s vs <=5s,1805
Vpt9iDLB,41,1-0,White,<=5s vs 10-15s,926
p23I67gM,72,0-1,Black,<=5s vs 5-10s,1991
iI4Mn4Z9,57,0-1,White,<=5s vs 10-15s,1549
9gcp58Mb,78,0-1,Black,<=5s vs 15-20s,1601
MmvCv4lp,72,0-1,Black,<=5s vs 10-15s,2024
Tlv3DNZX,56,0-1,Black,<=5s vs 15-20s,1341
XkFmfwyC,94,0-1,Black,<=5s vs 10-15s,2278
Z6eAtOMb,94,0-1,Black,<=5s vs 10-15s,1973
DnhiEDKp,127,0-1,White,<=5s vs 5-10s,2769
IvPG1d7Y,43,1-0,White,<=5s vs 10-15s,1519
TGMDAQoD,46,0-1,Black,<=5s vs 15-20s,1399
5NgPsGGy,58,0-1,Black,<=5s vs 15-20s,1778
3jx7xmaF,97,1-0,White,<=5s vs 5-10s,2559
0kpT8jk8,89,1-0,White,<=5s vs 15-20s,2313
dORPNUC7,52,0-1,Black,<=5s vs <=5s,1710
mvKo4u7J,82,0-1,Black,<=5s vs 15-20s,1719
3SZfs4xr,88,0-1,Black,<=5s vs 5-10s,2400
LOuSUz9T,85,1-0,White,<=5s vs 5-10s,2032
wjrDw2FJ,115,1-0,White,<=5s vs 15-20s,2108
BH3oGgpL,95,1-0,White,<=5s vs 5-10s,2205
UJ1jLq7K,72,0-1,Black,<=5s vs 5-10s,2207
4zSeS9Nx,82,0-1,Black,<=5s vs 10-15s,1570
FPDs1r1C,48,0-1,Black,<=5s vs 15-20s,1840
wmzFxL1y,60,0-1,Black,<=5s vs 5-10s,1470
Z9T4iaIq,149,1/2-1/2,White,<=5s vs 5-10s,1945
Dfbi5NbV,61,1-0,White,<=5s vs 15-20s,1990
