lichess_id,ply,result,player,time_scramble_bracket,player_elo
aedH3pPp,74,0-1,Black,<=5s vs 10-15s,1226
wk6Xd7G1,80,1-0,Black,<=5s vs 10-15s,1385
JmtFrMGA,58,0-1,Black,<=5s vs 5-10s,1702
Ay4X8S5Q,91,1-0,White,<=5s vs 5-10s,2245
x3dNIXgV,43,1-0,White,<=5s vs 15-20s,1141
Yu8YrHFC,123,1-0,White,<=5s vs 10-15s,2382
62a2XjHk,120,0-1,Black,<=5s vs 10-15s,2336
ISI1A0hq,74,0-1,Black,<=5s vs 10-15s,1252
wRn0ntBI,99,1-0,White,<=5s vs 5-10s,3172
KTsKRn1B,81,1-0,White,<=5s vs 5-10s,2301
hD8Y1fzt,58,1-0,Black,<=5s vs <=5s,971
jZL01Awb,77,0-1,White,<=5s vs 5-10s,1255
SzOycxVp,80,0-1,Black,<=5s vs 10-15s,2289
OQ5JWFkD,114,1-0,Black,<=5s vs 10-15s,2134
IQr86eVY,115,1-0,White,<=5s vs 5-10s,2319
7uuB2kJU,55,1-0,White,<=5s vs 15-20s,1949
9keXtN4m,62,0-1,Black,<=5s vs 10-15s,1025
skCDziVx,77,1-0,White,<=5s vs 10-15s,2518
fbPowBVR,55,1-0,White,<=5s vs 15-20s,1150
RN0fOdHI,77,1-0,White,<=5s vs 5-10s,1900
PCa5FowJ,66,0-1,Black,<=5s vs 15-20s,2020
QlYJBVWR,77,0-1,White,<=5s vs <=5s,1691
OOpMCtKl,59,1-0,White,<=5s vs 10-15s,2355
Yb9SJfY3,56,0-1,Black,<=5s vs 15-20s,1588
isepmI5r,84,0-1,Black,<=5s vs 5-10s,2404
hgflvJJy,83,0-1,White,<=5s vs 5-10s,2216
Hk5MaOzY,65,0-1,White,<=5s vs 5-10s,1937
TEfeQlA9,44,0-1,Black,<=5s vs 10-15s,2011
854vxvH3,108,0-1,Black,<=5s vs 15-20s,1880
ImXS7Vw0,56,0-1,Black,<=5s vs 5-10s,1202
jeShhQkX,89,1-0,White,<=5s vs 5-10s,1956
WRZW2GBM,95,1-0,White,<=5s vs 15-20s,2381
cKfkRxrd,48,0-1,Black,<=5s vs 10-15s,1321
xSMRPHlx,82,0-1,Black,<=5s vs 10-15s,2676
9hCVyvGL,54,0-1,Black,<=5s vs 15-20s,1657
AFv24LIp,66,1/2-1/2,Black,<=5s vs 15-20s,1576
WDo3W4sC,58,0-1,Black,<=5s vs 10-15s,1839
1m5doox5,88,0-1,Black,<=5s vs 10-15s,2375
6TfX8jpl,71,0-1,White,<=5s vs <=5s,1410
pv697i6c,60,0-1,Black,<=5s vs <=5s,1332
h9HOLvWz,70,0-1,Black,<=5s vs 10-15s,2678
SDlLz6uz,74,0-1,Black,<=5s vs 5-10s,2595
imMST37l,38,0-1,Black,<=5s vs 15-20s,1318
XfEUQMhj,75,0-1,White,<=5s vs 15-20s,1579
zk6RwQgs,45,1-0,White,<=5s vs 5-10s,1023
FG1b1GMA,139,1/2-1/2,White,<=5s vs 5-10s,2634
YEIJBFFe,49,1-0,White,<=5s vs 15-20s,1985
yZCSusTP,81,1-0,White,<=5s vs 10-15s,1713
fQ2HjhbU,92,0-1,Black,<=5s vs 15-20s,2456
lWXR4aNF,67,1-0,White,<=5s vs 15-20s,2242
csZJWvNN,63,1-0,White,<=5s vs 10-15s,2215
EVDzmZmO,81,1-0,White,<=5s vs 10-15s,1918
cRlE9DbQ,94,0-1,Black,<=5s vs <=5s,2384
fwxTmtOT,77,1-0,White,<=5s vs 15-20s,1432
s3Yc0Ugd,58,0-1,Black,<=5s vs 5-10s,1747
TUTbKysN,115,1/2-1/2,White,<=5s vs 5-10s,2051
6Fq3UkzW,119,1/2-1/2,White,<=5s vs 15-20s,2126
L9IrtTOI,98,1-0,Black,<=5s vs <=5s,2087
QZJpZ0hc,65,1-0,White,<=5s vs 10-15s,2412
UKZuzFe8,59,1-0,White,<=5s vs 10-15s,1167
92zvUw3W,103,0-1,White,<=5s vs 5-10s,2375
sZCbOfYg,46,0-1,Black,<=5s vs <=5s,1111
a6ocgWi1,87,0-1,White,<=5s vs 5-10s,2271
HXVUhC7M,123,1-0,White,<=5s vs 15-20s,2342
DrFjwoeX,127,1-0,White,<=5s vs 15-20s,2303
vhWEGsxw,53,0-1,White,<=5s vs <=5s,1871
WRp6PY6g,62,0-1,Black,<=5s vs 10-15s,2144
XjqEQPS7,89,1-0,White,<=5s vs 5-10s,1469
8ncg9gYd,85,0-1,White,<=5s vs <=5s,1867
TmSSpPN3,92,1-0,Black,<=5s vs 5-10s,2535
MaMb7uPT,93,0-1,White,<=5s vs 10-15s,1742
26iI4JaD,64,0-1,Black,<=5s vs 15-20s,2195
8teqnT5z,107,1-0,White,<=5s vs 10-15s,1695
sdehCVla,69,1-0,White,<=5s vs 15-20s,1996
yRpoaT3y,44,0-1,Black,<=5s vs 15-20s,1094
WFi8XYTF,54,0-1,Black,<=5s vs 10-15s,2109
9OorIQ7Z,49,1-0,White,<=5s vs 15-20s,1227
wzi73fwz,51,1-0,White,<=5s vs 15-20s,1080
NWTs4wmr,72,0-1,Black,<=5s vs 10-15s,2103
05msDmFF,61,1-0,White,<=5s vs 15-20s,2329
H8NF5D1Q,91,1-0,White,<=5s vs 15-20s,1983
TwcoEK4q,113,1-0,White,<=5s vs 5-10s,2034
MDGZaB9T,66,1-0,Black,<=5s vs 5-10s,1699
2xzdvwhA,83,1/2-1/2,White,<=5s vs 15-20s,1946
W4tou08e,80,0-1,Black,<=5s vs 15-20s,2314
U2uhQ5vQ,47,0-1,White,<=5s vs 5-10s,1934
Kx209ssx,124,1-0,Black,<=5s vs 5-10s,2313
muPBEOIG,66,0-1,Black,<=5s vs 10-15s,1910
JjjM49u5,84,0-1,Black,<=5s vs 5-10s,1933
8P2Q0tHr,49,1-0,White,<=5s vs 5-10s,978
ShCkgLtW,95,1-0,White,<=5s vs 15-20s,2487
jXLaTaMi,82,0-1,Black,<=5s vs 5-10s,2011
6CddtmGB,87,1-0,White,<=5s vs 5-10s,1992
QBmbARuB,56,1-0,Black,<=5s vs <=5s,1656
a7AKupDw,52,0-1,Black,<=5s vs 5-10s,957
5MHa8J7b,116,0-1,Black,<=5s vs 10-15s,1747
NIKaEY0k,46,0-1,Black,<=5s vs 5-10s,1305
N1T1TqpY,65,1-0,White,<=5s vs 15-20s,2158
FHIoMrIr,108,0-1,Black,<=5s vs 15-20s,1730
SOBG3JHm,108,1-0,Black,<=5s vs 10-15s,2274
F2bAcEvN,55,1-0,White,<=5s vs 10-15s,1327
AIbOL0JQ,110,0-1,Black,<=5s vs 10-15s,2522
2PMUx4nb,46,0-1,Black,<=5s vs 15-20s,1016
869j8Dju,106,0-1,Black,<=5s vs 10-15s,2133
g3HnmArj,41,0-1,White,<=5s vs <=5s,1507
pPM5ewUh,60,1-0,Black,<=5s vs <=5s,1601
WgSeXQTX,101,1-0,White,<=5s vs 15-20s,2543
ib2UpVnr,122,1/2-1/2,Black,<=5s vs 5-10s,2366
PYa9OoBK,71,0-1,White,<=5s vs 15-20s,2758
Mcv632NU,87,1-0,White,<=5s vs 15-20s,1936
NJ4u2cXl,96,1/2-1/2,Black,<=5s vs 5-10s,2836
lD0Vembx,80,0-1,Black,<=5s vs 5-10s,1317
rVAx9u2n,66,0-1,Black,<=5s vs 10-15s,1481
4VzNMy6W,111,1-0,White,<=5s vs 5-10s,2207
xCVYZMtn,76,1/2-1/2,Black,<=5s vs 5-10s,2401
bgmXzLVZ,47,1-0,White,<=5s vs 15-20s,1252
4JEk1rQV,58,0-1,Black,<=5s vs 5-10s,1537
rJ3Vfl7t,70,0-1,Black,<=5s vs 10-15s,2155
bCDqh6af,82,0-1,Black,<=5s vs 5-10s,1304
GIzVlcxc,91,1-0,White,<=5s vs 15-20s,1716
dVeRlKuM,168,0-1,Black,<=5s vs 15-20s,2342
iL2O0ARL,53,1-0,White,<=5s vs 10-15s,1081
9RYX0CKs,65,1-0,White,<=5s vs 10-15s,2384
39NwV6pJ,59,1-0,White,<=5s vs 10-15s,1440
MwDZhGWJ,72,0-1,Black,<=5s vs <=5s,1675
TxGb3ggQ,55,1-0,White,<=5s vs 15-20s,1475
ntBU2ISH,79,1-0,White,<=5s vs 10-15s,2441
yj42fzNS,74,1-0,Black,<=5s vs 5-10s,2111
SH5f2pXw,103,1-0,White,<=5s vs <=5s,2536
R4Pfxsg3,83,1-0,White,<=5s vs 15-20s,2565
xlC4UWxw,38,0-1,Black,<=5s vs 5-10s,1082
WUHsVtnb,54,0-1,Black,<=5s vs 5-10s,1365
tkW5u7Na,106,0-1,Black,<=5s vs <=5s,2298
