lichess_id,ply,result,player,time_scramble_bracket,player_elo
uZmTBMLF,47,1-0,White,<=5s vs 15-20s,1155
2PBbQenX,79,1-0,White,<=5s vs 5-10s,2252
KU6mgx8K,121,1/2-1/2,White,<=5s vs 15-20s,2070
x5Cl5SMW,44,0-1,Black,<=5s vs 15-20s,1377
UY3uvnVb,90,1-0,Black,<=5s vs <=5s,1709
0Awrdd6r,57,1-0,White,<=5s vs 10-15s,1214
Re1TfCJ6,104,0-1,Black,<=5s vs 10-15s,2740
QtYERzjb,82,0-1,Black,<=5s vs <=5s,2375
UZu2jby6,52,0-1,Black,<=5s vs 15-20s,1036
JxGHfYSN,90,0-1,Black,<=5s vs 15-20s,2169
Cvj6fwxt,55,1-0,White,<=5s vs 5-10s,2188
SQhGwkY2,39,1-0,White,<=5s vs 5-10s,1166
1VaLF1C5,56,0-1,Black,<=5s vs 10-15s,1250
C3GM3Rwh,57,1-0,White,<=5s vs 5-10s,2114
JcAMiQ5e,70,1/2-1/2,Black,<=5s vs 15-20s,2223
Ka0sPe8e,125,1/2-1/2,White,<=5s vs <=5s,2305
j0nyeLlc,86,0-1,Black,<=5s vs 5-10s,2374
tHeFXGBM,57,1-0,White,<=5s vs 5-10s,1540
h7cDlO6g,85,1-0,White,<=5s vs 5-10s,1199
M126AMeo,87,1/2-1/2,White,<=5s vs 5-10s,2282
6nldtuYw,71,1-0,White,<=5s vs 15-20s,2538
EYCfAadb,60,1-0,Black,<=5s vs 5-10s,2155
9aoZkVFq,57,1-0,White,<=5s vs 10-15s,1822
JPcyDuoh,81,1-0,White,<=5s vs 10-15s,1665
1HrovNLe,62,0-1,Black,<=5s vs 5-10s,1116
xTdwJn2F,72,0-1,Black,<=5s vs <=5s,1809
F172L8ai,116,1/2-1/2,Black,<=5s vs 15-20s,1920
VR76YPG4,81,1/2-1/2,White,<=5s vs 5-10s,2541
1dzVsleS,145,1/2-1/2,White,<=5s vs 5-10s,1915
TMbKkSPH,125,0-1,White,<=5s vs 5-10s,2131
VpYVW65B,66,0-1,Black,<=5s vs 5-10s,1694
MZ5rLm6D,64,0-1,Black,<=5s vs 10-15s,1567
K1VFGA1Y,47,1-0,White,<=5s vs 15-20s,1365
5KDI8fAL,96,0-1,Black,<=5s vs <=5s,2515
4cNPdyvP,39,1-0,White,<=5s vs 10-15s,1281
lvNJa2uk,71,1-0,White,<=5s vs 15-20s,1976
s9kqz14F,118,1-0,Black,<=5s vs <=5s,2731
2t5Ul2XN,117,0-1,White,<=5s vs 5-10s,2309
RIGtoDpU,68,0-1,Black,<=5s vs 5-10s,1710
bDf6Bq1o,54,0-1,Black,<=5s vs 5-10s,1546
EjHJUEGK,67,1-0,White,<=5s vs 5-10s,1841
pD3JObXg,50,0-1,Black,<=5s vs 15-20s,1828
8gUiSsPE,52,1-0,Black,<=5s vs 5-10s,997
FHb5U12M,125,1-0,White,<=5s vs 15-20s,2767
dSObpz11,69,1-0,White,<=5s vs 10-15s,2514
s8smhZXq,92,1-0,Black,<=5s vs <=5s,2299
5Ze02h7x,119,1-0,White,<=5s vs 15-20s,2625
WUbthZmd,75,1-0,White,<=5s vs 15-20s,1444
CkoJ9095,58,0-1,Black,<=5s vs 15-20s,1560
nHexoEDU,141,1/2-1/2,White,<=5s vs 15-20s,2101
XTElPCJM,70,1-0,Black,<=5s vs <=5s,1633
JrNYXctt,73,1-0,White,<=5s vs 5-10s,1509
juWjGb5V,66,0-1,Black,<=5s vs 15-20s,2326
i0d8hDPO,71,1-0,White,<=5s vs <=5s,918
oj2YloKH,54,1-0,Black,<=5s vs <=5s,1521
3vm3qZHi,74,1-0,Black,<=5s vs <=5s,1686
sCr8Zlkq,160,1/2-1/2,Black,<=5s vs 10-15s,2344
rjYy8ZFC,64,1-0,Black,<=5s vs <=5s,1632
NCFpYWjE,70,0-1,Black,<=5s vs 5-10s,1340
8kuKkHxV,70,0-1,Black,<=5s vs <=5s,2304
oQhpsATC,70,0-1,Black,<=5s vs 5-10s,1900
lTX826mO,82,0-1,Black,<=5s vs <=5s,1200
zSFxhuII,82,0-1,Black,<=5s vs 15-20s,1621
OGEQEAdi,102,0-1,Black,<=5s vs 10-15s,1792
JFuAQx8e,56,0-1,Black,<=5s vs 5-10s,1694
XpLpotfW,70,0-1,Black,<=5s vs 15-20s,2345
0rRAEwqs,65,1-0,White,<=5s vs 15-20s,1152
6Jf4ihKk,60,1-0,Black,<=5s vs 10-15s,2259
OZc2DlX3,65,0-1,White,<=5s vs <=5s,1527
U2mY922e,85,1-0,White,<=5s vs 5-10s,2217
lp13EDnI,95,1-0,White,<=5s vs 15-20s,2043
mv4R8iXq,47,1-0,White,<=5s vs 5-10s,1087
m63zDL4V,50,0-1,Black,<=5s vs 15-20s,1149
bGbUHfTz,45,0-1,White,<=5s vs 5-10s,681
WDJcksU9,50,0-1,Black,<=5s vs <=5s,1292
Hs1bLNWU,90,0-1,Black,<=5s vs <=5s,2015
0yomySAq,36,0-1,Black,<=5s vs 15-20s,1020
x7mZQGyy,70,0-1,Black,<=5s vs 5-10s,1413
YzqJsQAG,78,1/2-1/2,Black,<=5s vs 15-20s,2142
3Kc3K33T,92,0-1,Black,<=5s vs 5-10s,2158
42oF00JS,57,1-0,White,<=5s vs 15-20s,1224
P6hchiqn,94,0-1,Black,<=5s vs 10-15s,2442
cdzTdwva,59,1-0,White,<=5s vs 15-20s,1646
ftsELErA,46,0-1,Black,<=5s vs 5-10s,1128
0dtUApBe,95,1-0,White,<=5s vs 15-20s,1239
Kzy20gZ2,59,1-0,White,<=5s vs 5-10s,1032
wB0pAfX4,61,0-1,White,<=5s vs 5-10s,2608
tgGXLHQE,84,0-1,Black,<=5s vs 5-10s,1910
OzLjHdei,77,1-0,White,<=5s vs 5-10s,2691
JBpmrDDF,79,1-0,White,<=5s vs 15-20s,2037
ui4rcKw8,102,0-1,Black,<=5s vs 15-20s,2306
5pf47rAj,122,1-0,Black,<=5s vs <=5s,2177
MThjdkGo,76,1-0,Black,<=5s vs 5-10s,2112
w1svniPp,78,0-1,Black,<=5s vs 15-20s,1654
SXkCdS09,82,0-1,Black,<=5s vs 5-10s,2923
16d2cum1,63,1-0,White,<=5s vs 10-15s,1368
OiBWZSDR,88,0-1,Black,<=5s vs 5-10s,2200
ywvRofDe,189,1-0,White,<=5s vs 15-20s,2507
bGuAlbyR,78,1-0,Black,<=5s vs <=5s,1287
44PS87gJ,123,0-1,White,<=5s vs <=5s,2156
900vTFXh,50,0-1,Black,<=5s vs 10-15s,1632
dSHNETIw,41,1-0,White,<=5s vs 5-10s,995
cZ3ZmEsk,52,1-0,Black,<=5s vs 5-10s,1167
8M28kkIT,65,1-0,White,<=5s vs 15-20s,1738
a345QQ8T,82,0-1,Black,<=5s vs 5-10s,1829
kiE9xIb7,73,1-0,White,<=5s vs 15-20s,1379
bWH4vayN,79,1-0,White,<=5s vs 5-10s,1955
CUnxKUtd,77,1-0,White,<=5s vs <=5s,1914
WNK1CQtO,46,0-1,Black,<=5s vs 15-20s,1057
XVrj7VNO,84,0-1,Black,<=5s vs 10-15s,1899
AOgE4SW8,94,0-1,Black,<=5s vs 15-20s,2299
6DmdWbDf,66,1-0,Black,<=5s vs 5-10s,1574
WuAvPEuf,86,1-0,Black,<=5s vs <=5s,2144
HNUtIFV3,104,1-0,Black,<=5s vs 5-10s,2442
UUHolmzL,61,1-0,White,<=5s vs 15-20s,2213
1LVZfWz0,58,0-1,Black,<=5s vs 5-10s,1048
QgJRVpWp,68,0-1,Black,<=5s vs 10-15s,2095
q6oW1KGh,78,0-1,Black,<=5s vs <=5s,2398
LOMa3Gip,63,1-0,White,<=5s vs 15-20s,765
V4YvHHTn,64,0-1,Black,<=5s vs 15-20s,1984
PcPn539B,62,0-1,Black,<=5s vs 15-20s,1783
RaTtX07x,68,0-1,Black,<=5s vs <=5s,1482
bXOV4hyt,75,1-0,White,<=5s vs 10-15s,2269
ZJNArQ6C,63,1-0,White,<=5s vs 5-10s,2857
lyvv1pF7,49,1-0,White,<=5s vs 15-20s,1512
fILBbmKb,59,1-0,White,<=5s vs 5-10s,2408
UsToxtLf,103,1-0,White,<=5s vs 5-10s,2239
fPRBxjnM,78,0-1,Black,<=5s vs <=5s,2027
iTTYizk5,72,0-1,Black,<=5s vs 10-15s,1830
DXVEyRiH,81,1-0,White,<=5s vs 5-10s,2629
R3d3c6Hu,81,1-0,White,<=5s vs 15-20s,1560
66dDkDvJ,49,1-0,White,<=5s vs 5-10s,1223
Dk5ev157,71,1-0,White,<=5s vs 5-10s,2217
KXdCbINA,113,1-0,White,<=5s vs <=5s,2735
rzdsVmv1,62,0-1,Black,<=5s vs 10-15s,1705
R17GF57Q,59,1-0,White,<=5s vs 15-20s,1062
wZEH7YtL,55,1-0,White,<=5s vs 10-15s,1512
W05anS8V,76,0-1,Black,<=5s vs 15-20s,1583
i2Qm0S32,61,1-0,White,<=5s vs 10-15s,1269
W1qw4TX7,66,0-1,Black,<=5s vs 5-10s,1711
